;Año,Mes,Armerillo,Cipreses,Melado
2013,2,47.5,28.69856788,51.62295296
2013,3,0,0.85993819,0
2013,4,0,9.965907071,8.571239728
2013,5,387.5,264.0409553,380.1977486
2013,6,239,155.6573778,228.6043162
2013,7,383,239.791526,323.2932001
2013,8,172.5,109.1631951,172.5085064
2013,9,151.5,92.55252,136.2114625
2013,10,63,55.99365123,88.27356397
2013,11,1.5,8.549690383,4.378912205
2013,12,0,0,0.349255718
2014,1,0,0.36305,0
2014,2,0,5.145907966,27.65515337
2014,3,49.1,35.52365949,0
2014,4,49,37.77387143,48.50106243
2014,5,292,201.7705839,240.301069
2014,6,499.5,288.9147657,361.9743414
2014,7,384,227.7605361,365.5037469
2014,8,297.5,65.83696657,209.2658953
2014,9,261,144.41594,202.6503447
2014,10,23,33.79639918,19.05744198
2014,11,26,16.65890856,30.16583963
2014,12,19,17.63392,22.94963342
2015,1,0,0,16.87358911
2015,2,8.4,7.93871349,0
2015,3,34,15.68794655,42.2460984
2015,4,31,31.70791842,32.34967347
2015,5,71.5,62.04950197,80.16210455
2015,6,156.5,119.2963907,159.0408139
2015,7,559,277.5,423.8152239
2015,8,685.1,339.4,536.6053459
2015,9,204,125.28599,158.9905079
2015,10,225.5,102.1,154.6314309
2015,11,15.5,12.7,16.05601142
2015,12,0,0,0.349255718
2016,1,17,6.4,0
2016,2,0,0,1.843676891
2016,3,0,0,11.61767706
2016,4,367,250.2,267.1729229
2016,5,103,66.8,94.55661821
2016,6,37,29.2,48.69870672
2016,7,343,208.5,304.146148
2016,8,63,45.4,72.17076888
2016,9,7.68530201,6.9,43.23970264
2016,10,43.87560027,124,137.9889926
2016,11,5.523125885,30.5,25.54684921
2016,12,7.466667289,3.5,14.98512262
2017,1,4,2.1,10.84730729
2017,2,0,5.7,0
2017,3,0.5225,4.5,0
2017,4,116,72.9,83.4957385
2017,5,178,95.2,158.4322726
2017,6,586.5,341.1,567.3066104
2017,7,156,44.1,147.9236089
2017,8,275,137,288.2446095
2017,9,112,75.2,116.7543613
2017,10,93.08843839,76.3,119.482619
2017,11,65,36.2,23.35419842
2017,12,0,0,0.349255718
2018,1,0.5424,0.58088,8.436794557
2018,2,7.2957,9.00928894,0
2018,3,91.751,51.2,7.396734359
2018,4,123.2468534,89.2,90.82657788
2018,5,177.3770769,113.2,174.1762719
2018,6,357.3958719,117.6,289.4659897
2018,7,229.1675126,129.1,223.8939066
2018,8,160.9340033,46.4,130.2511244
2018,9,321.8928834,252.6,292.0429143
2018,10,83.62776933,62.7,86.26353466
2018,11,22.68539494,11.3,30.93154875
2018,12,1.306666776,1.04608,0.349255718
2019,1,2.034,2.1783,5.606250805
2019,2,0,5.145907966,12.55599898
2019,3,0,0,69.75812863
