year,month,A,B,C,D,E
2040,1,92.0385085,113.917954,96.2914042,92.2381234,123.6060415
2040,4,63.18956636,74.99054556,67.87506179,70.26743522,77.89259216
2040,7,47.00384002,47.62464153,53.85812997,53.0092408,49.45439181
2040,10,31.56352464,36.35861513,41.77952994,44.33029027,30.76093036
2041,1,91.41072238,132.0591729,96.6387353,92.21852017,131.0956823
2041,4,61.2953648,76.3537846,67.80191249,71.04608278,77.94540801
2041,7,45.45883157,40.24813003,53.548926,53.8000946,44.16913114
2041,10,31.20609983,29.12095679,41.32256758,43.54734994,28.82419083
2042,1,93.41467792,131.9126565,97.43182076,92.29156316,131.3476433
2042,4,61.78860104,76.04435362,67.94229785,71.24637591,79.57094482
2042,7,45.8524697,39.5088827,53.8189816,54.23009011,43.59646121
2042,10,31.48610876,29.88220531,40.90524655,44.15374101,28.10357217
2043,1,96.04053876,132.607724,97.12462154,92.21643651,130.6180383
2043,4,63.59709674,75.00157792,67.90859945,70.96213224,79.79902381
2043,7,47.60126003,39.93920886,53.73892831,54.33919062,43.29311194
2043,10,32.9042316,28.74267686,40.57325875,44.58226452,28.21745015
2044,1,97.77334749,133.3963942,97.23648419,93.16362958,130.5394675
2044,4,63.09674102,75.3598706,68.38260464,70.3541748,79.18196654
2044,7,46.30920531,40.40863045,54.61094,54.64110633,42.67357897
2044,10,33.33935547,27.06290516,39.88058001,44.63411816,26.75398225
2045,1,99.81071736,134.5543699,97.92060645,93.90457328,130.5957565
2045,4,64.87478304,74.21066503,68.18975039,70.21872261,79.09416143
2045,7,48.43690886,40.221732,54.95415818,55.06496177,42.83508413
2045,10,33.76797051,26.81522937,39.22703889,44.38081927,25.72521824
2046,1,101.8009151,135.7110029,98.64469028,93.82837228,129.875447
2046,4,66.50339229,75.03477594,68.08175818,69.92824122,78.97688461
2046,7,48.8999856,39.22701746,54.77289195,55.22664997,41.74475949
2046,10,34.17614413,26.65458051,38.94328749,44.66892198,25.97242823
2047,1,100.5846459,137.2469084,98.64387837,93.32741249,130.6108028
2047,4,66.12073764,74.74760688,67.66629056,69.26579562,77.35887415
2047,7,47.57648992,37.92613344,54.24860491,55.36358512,41.69239699
2047,10,32.26305443,25.67467703,39.18288509,45.19582766,26.14674054
2048,1,99.36300786,136.4488798,98.50309403,93.34323598,129.7160879
2048,4,67.13061027,73.91894932,67.92623015,68.70296873,76.15160832
2048,7,46.75376545,37.24113547,54.74376817,55.56572513,41.60447155
2048,10,32.40796472,25.34028417,39.79357828,45.81233479,25.73919539
2049,1,99.9346933,135.4285282,97.6540766,93.72692005,130.5900664
2049,4,68.10631063,74.22095699,68.79895162,69.242962,77.66475545
2049,7,46.51285386,35.1476311,56.30481718,56.11325137,37.66178488
2049,10,31.71588532,25.18362599,40.7813204,46.55558465,25.72824566
2050,1,96.53362911,131.8493236,96.27943442,91.71091563,125.2286509
2050,4,68.77733777,75.32056265,69.10163452,70.89527773,77.38718397
2050,7,47.8155394,31.17010005,57.9849729,60.41281324,36.18859388
2050,10,32.38995567,25.32058839,40.60087962,47.1391846,26.44699189
2051,1,95.67935654,131.0030974,95.41357621,90.8100158,124.8343508
2051,4,70.02874435,75.50264832,69.48388604,71.53224163,77.54888329
2051,7,48.12893165,30.73800915,58.15123131,60.61194373,35.42771099
2051,10,32.5132498,26.34745108,41.59546509,47.54854222,27.08443914
2052,1,96.16042549,130.7983497,94.98420685,89.96727654,125.2701343
2052,4,70.54911764,76.90157082,71.06024659,72.14677786,78.13706123
2052,7,49.04562526,28.83439072,56.53376216,59.57265356,33.32365439
2052,10,29.9109075,26.65845015,41.56544871,45.59039797,27.06901522
