#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1973,4,4.32,5.04,5.75,6.47,7.18,7.90,8.62,9.33
1973,5,-0.41,0.78,1.96,3.15,4.33,5.52,6.70,7.88
1973,6,-2.56,-1.79,-1.02,-0.24,0.53,1.31,2.08,2.85
1973,7,-5.27,-4.09,-2.91,-1.73,-0.55,0.63,1.82,3.00
1973,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
1973,9,-2.35,-1.23,-0.11,1.00,2.12,3.24,4.36,5.48
1973,10,0.84,1.97,3.09,4.22,5.34,6.47,7.60,8.72
1973,11,2.19,3.35,4.51,5.68,6.84,8.00,9.16,10.33
1973,12,6.45,7.40,8.34,9.29,10.24,11.19,12.13,13.08
1974,1,8.95,9.85,10.75,11.65,12.55,13.45,14.35,15.25
1974,2,11.07,11.77,12.46,13.16,13.85,14.54,15.24,15.93
1974,3,9.09,9.79,10.49,11.18,11.88,12.58,13.28,13.98
1974,4,4.36,5.08,5.80,6.52,7.24,7.96,8.69,9.41
1974,5,-0.40,0.76,1.93,3.10,4.26,5.43,6.59,7.76
1974,6,-4.36,-3.05,-1.73,-0.41,0.91,2.22,3.54,4.86
1974,7,-4.79,-3.72,-2.64,-1.57,-0.50,0.58,1.65,2.72
1974,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
1974,9,-2.26,-1.18,-0.11,0.96,2.04,3.11,4.18,5.26
1974,10,0.78,1.83,2.88,3.93,4.98,6.03,7.08,8.13
1974,11,2.07,3.17,4.27,5.37,6.47,7.57,8.67,9.77
1974,12,6.45,7.40,8.34,9.29,10.24,11.19,12.13,13.08
1975,1,8.86,9.75,10.64,11.53,12.42,13.32,14.21,15.10
1975,2,10.62,11.28,11.95,12.61,13.28,13.94,14.61,15.27
1975,3,9.19,9.90,10.60,11.31,12.02,12.72,13.43,14.13
1975,4,5.02,5.86,6.69,7.52,8.35,9.19,10.02,10.85
1975,5,-0.32,0.60,1.51,2.43,3.34,4.26,5.17,6.08
1975,6,-4.36,-3.05,-1.73,-0.41,0.91,2.22,3.54,4.86
1975,7,-4.97,-3.86,-2.74,-1.63,-0.52,0.60,1.71,2.83
1975,8,-4.52,-3.22,-1.93,-0.63,0.66,1.95,3.25,4.54
1975,9,-2.64,-1.38,-0.13,1.13,2.38,3.63,4.89,6.14
1975,10,0.79,1.85,2.90,3.96,5.02,6.08,7.14,8.20
1975,11,2.07,3.17,4.27,5.37,6.47,7.57,8.67,9.77
1975,12,6.49,7.44,8.39,9.34,10.30,11.25,12.20,13.15
1976,1,8.82,9.70,10.59,11.47,12.36,13.25,14.13,15.02
1976,2,10.96,11.65,12.33,13.02,13.71,14.39,15.08,15.77
1976,3,9.35,10.07,10.78,11.50,12.22,12.94,13.65,14.37
1976,4,4.60,5.37,6.13,6.89,7.65,8.41,9.18,9.94
1976,5,-0.30,0.56,1.42,2.28,3.14,4.00,4.85,5.71
1976,6,-2.60,-1.82,-1.03,-0.25,0.54,1.33,2.11,2.90
1976,7,-3.53,-2.74,-1.95,-1.16,-0.37,0.43,1.22,2.01
1976,8,-3.97,-2.83,-1.69,-0.56,0.58,1.72,2.85,3.99
1976,9,-2.80,-1.47,-0.14,1.20,2.53,3.86,5.20,6.53
1976,10,0.81,1.89,2.97,4.06,5.14,6.23,7.31,8.39
1976,11,2.26,3.47,4.67,5.87,7.07,8.27,9.47,10.67
1976,12,6.67,7.65,8.63,9.61,10.59,11.57,12.55,13.53
1977,1,9.23,10.16,11.09,12.01,12.94,13.87,14.80,15.73
1977,2,11.53,12.25,12.97,13.70,14.42,15.14,15.87,16.59
1977,3,8.57,9.23,9.89,10.55,11.21,11.86,12.52,13.18
1977,4,4.74,5.53,6.31,7.10,7.89,8.67,9.46,10.24
1977,5,-0.33,0.64,1.61,2.58,3.55,4.52,5.49,6.46
1977,6,-4.24,-2.96,-1.68,-0.40,0.88,2.16,3.44,4.72
1977,7,-5.39,-4.18,-2.98,-1.77,-0.56,0.65,1.86,3.06
1977,8,-4.31,-3.07,-1.84,-0.61,0.63,1.86,3.09,4.33
1977,9,-2.85,-1.49,-0.14,1.22,2.57,3.93,5.28,6.64
1977,10,0.79,1.85,2.90,3.96,5.02,6.08,7.14,8.20
1977,11,2.66,4.08,5.49,6.90,8.32,9.73,11.14,12.56
1977,12,6.45,7.40,8.34,9.29,10.24,11.19,12.13,13.08
1978,1,8.49,9.35,10.20,11.05,11.91,12.76,13.61,14.47
1978,2,9.36,9.95,10.53,11.12,11.71,12.29,12.88,13.47
1978,3,9.66,10.40,11.14,11.88,12.62,13.37,14.11,14.85
1978,4,5.06,5.90,6.74,7.57,8.41,9.25,10.09,10.93
1978,5,-0.39,0.74,1.87,3.00,4.13,5.25,6.38,7.51
1978,6,-3.16,-2.21,-1.25,-0.30,0.66,1.61,2.57,3.52
1978,7,-4.61,-3.58,-2.55,-1.51,-0.48,0.56,1.59,2.62
1978,8,-3.46,-2.47,-1.48,-0.49,0.51,1.50,2.49,3.48
1978,9,-2.71,-1.42,-0.13,1.16,2.44,3.73,5.02,6.31
1978,10,0.79,1.85,2.90,3.96,5.02,6.08,7.14,8.20
1978,11,2.41,3.69,4.97,6.25,7.53,8.81,10.09,11.37
1978,12,6.19,7.10,8.01,8.92,9.83,10.74,11.65,12.56
1979,1,9.00,9.90,10.81,11.71,12.62,13.52,14.43,15.33
1979,2,10.39,11.04,11.69,12.34,12.99,13.64,14.30,14.95
1979,3,7.23,7.79,8.34,8.90,9.45,10.01,10.56,11.12
1979,4,4.01,4.67,5.33,6.00,6.66,7.32,7.99,8.65
1979,5,-0.31,0.59,1.50,2.40,3.31,4.21,5.12,6.02
1979,6,-3.80,-2.66,-1.51,-0.36,0.79,1.94,3.09,4.23
1979,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
1979,8,-3.80,-2.71,-1.62,-0.53,0.55,1.64,2.73,3.82
1979,9,-2.37,-1.24,-0.12,1.01,2.14,3.27,4.40,5.53
1979,10,0.80,1.88,2.95,4.03,5.10,6.18,7.25,8.33
1979,11,2.21,3.38,4.54,5.71,6.88,8.05,9.22,10.39
1979,12,6.23,7.14,8.06,8.97,9.89,10.80,11.72,12.63
1980,1,9.09,10.01,10.92,11.83,12.75,13.66,14.58,15.49
1980,2,10.96,11.65,12.33,13.02,13.71,14.39,15.08,15.77
1980,3,9.04,9.73,10.43,11.12,11.81,12.51,13.20,13.90
1980,4,5.06,5.90,6.74,7.57,8.41,9.25,10.09,10.93
1980,5,-0.30,0.57,1.44,2.30,3.17,4.04,4.91,5.77
1980,6,-3.04,-2.12,-1.21,-0.29,0.63,1.55,2.47,3.39
1980,7,-5.33,-4.14,-2.94,-1.75,-0.55,0.64,1.84,3.03
1980,8,-4.73,-3.37,-2.02,-0.66,0.69,2.04,3.40,4.75
1980,9,-2.75,-1.44,-0.13,1.18,2.49,3.80,5.11,6.42
1980,10,0.91,2.13,3.35,4.57,5.79,7.01,8.23,9.45
1980,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
1980,12,6.41,7.36,8.30,9.24,10.18,11.12,12.06,13.00
1981,1,9.37,10.31,11.25,12.19,13.14,14.08,15.02,15.96
1981,2,10.79,11.46,12.14,12.82,13.49,14.17,14.84,15.52
1981,3,8.73,9.40,10.07,10.74,11.41,12.08,12.75,13.42
1981,4,4.46,5.20,5.94,6.68,7.42,8.16,8.90,9.64
1981,5,-0.32,0.60,1.51,2.43,3.34,4.26,5.17,6.08
1981,6,-3.92,-2.74,-1.55,-0.37,0.81,2.00,3.18,4.37
1981,7,-4.79,-3.72,-2.64,-1.57,-0.50,0.58,1.65,2.72
1981,8,-3.33,-2.38,-1.42,-0.47,0.49,1.44,2.40,3.35
1981,9,-2.52,-1.32,-0.12,1.08,2.27,3.47,4.67,5.86
1981,10,0.74,1.74,2.74,3.74,4.74,5.74,6.73,7.73
1981,11,2.28,3.49,4.70,5.91,7.12,8.33,9.53,10.74
1981,12,6.67,7.65,8.63,9.61,10.59,11.57,12.55,13.53
1982,1,9.18,10.11,11.03,11.95,12.88,13.80,14.72,15.65
1982,2,10.90,11.58,12.27,12.95,13.64,14.32,15.00,15.69
1982,3,8.88,9.57,10.25,10.93,11.61,12.29,12.98,13.66
1982,4,5.09,5.94,6.78,7.63,8.47,9.31,10.16,11.00
1982,5,-0.37,0.70,1.76,2.82,3.89,4.95,6.01,7.08
1982,6,-3.76,-2.63,-1.49,-0.36,0.78,1.92,3.05,4.19
1982,7,-6.05,-4.69,-3.34,-1.98,-0.63,0.73,2.08,3.44
1982,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
1982,9,-2.52,-1.32,-0.12,1.08,2.27,3.47,4.67,5.86
1982,10,0.81,1.89,2.97,4.06,5.14,6.23,7.31,8.39
1982,11,2.25,3.44,4.64,5.83,7.02,8.22,9.41,10.60
1982,12,6.86,7.86,8.87,9.88,10.88,11.89,12.89,13.90
1983,1,9.18,10.11,11.03,11.95,12.88,13.80,14.72,15.65
1983,2,11.07,11.77,12.46,13.16,13.85,14.54,15.24,15.93
1983,3,9.55,10.29,11.02,11.76,12.49,13.22,13.96,14.69
1983,4,5.34,6.23,7.11,7.99,8.88,9.76,10.65,11.53
1983,5,-0.37,0.70,1.78,2.85,3.92,4.99,6.07,7.14
1983,6,-3.20,-2.24,-1.27,-0.30,0.66,1.63,2.60,3.57
1983,7,-5.15,-4.00,-2.84,-1.69,-0.53,0.62,1.77,2.93
1983,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
1983,9,-2.75,-1.44,-0.13,1.18,2.49,3.80,5.11,6.42
1983,10,0.79,1.86,2.93,3.99,5.06,6.13,7.19,8.26
1983,11,2.13,3.26,4.39,5.52,6.65,7.78,8.92,10.05
1983,12,6.16,7.06,7.96,8.87,9.77,10.67,11.58,12.48
1984,1,7.57,8.33,9.09,9.85,10.61,11.37,12.13,12.90
1984,2,11.70,12.43,13.17,13.90,14.63,15.37,16.10,16.84
1984,3,8.52,9.18,9.83,10.48,11.14,11.79,12.45,13.10
1984,4,4.43,5.16,5.89,6.63,7.36,8.09,8.83,9.56
1984,5,-0.42,0.79,2.01,3.22,4.43,5.65,6.86,8.07
1984,6,-3.20,-2.24,-1.27,-0.30,0.66,1.63,2.60,3.57
1984,7,-4.31,-3.35,-2.38,-1.41,-0.45,0.52,1.49,2.45
1984,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
1984,9,-2.73,-1.43,-0.13,1.17,2.47,3.76,5.06,6.36
1984,10,0.95,2.22,3.49,4.76,6.03,7.30,8.58,9.85
1984,11,2.50,3.83,5.16,6.48,7.81,9.14,10.46,11.79
1984,12,7.45,8.54,9.63,10.72,11.82,12.91,14.00,15.10
1985,1,9.23,10.16,11.09,12.01,12.94,13.87,14.80,15.73
1985,2,10.79,11.46,12.14,12.82,13.49,14.17,14.84,15.52
1985,3,9.09,9.79,10.49,11.18,11.88,12.58,13.28,13.98
1985,4,4.46,5.20,5.94,6.68,7.42,8.16,8.90,9.64
1985,5,-0.35,0.67,1.70,2.72,3.75,4.78,5.80,6.83
1985,6,-2.52,-1.76,-1.00,-0.24,0.52,1.28,2.05,2.81
1985,7,-5.03,-3.90,-2.78,-1.65,-0.52,0.61,1.73,2.86
1985,8,-4.22,-3.01,-1.80,-0.59,0.62,1.83,3.03,4.24
1985,9,-2.61,-1.37,-0.13,1.12,2.36,3.60,4.84,6.09
1985,10,0.77,1.80,2.83,3.87,4.90,5.93,6.96,8.00
1985,11,2.16,3.31,4.45,5.60,6.75,7.89,9.04,10.19
1985,12,7.22,8.29,9.35,10.41,11.47,12.53,13.59,14.65
1986,1,8.82,9.70,10.59,11.47,12.36,13.25,14.13,15.02
1986,2,11.07,11.77,12.46,13.16,13.85,14.54,15.24,15.93
1986,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
1986,4,5.24,6.10,6.97,7.84,8.70,9.57,10.44,11.31
1986,5,-0.35,0.67,1.70,2.72,3.75,4.78,5.80,6.83
1986,6,-2.76,-1.93,-1.09,-0.26,0.57,1.41,2.24,3.07
1986,7,-5.63,-4.37,-3.11,-1.85,-0.58,0.68,1.94,3.20
1986,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
1986,9,-2.21,-1.16,-0.11,0.94,1.99,3.04,4.10,5.15
1986,10,0.87,2.04,3.21,4.38,5.55,6.72,7.89,9.05
1986,11,2.68,4.10,5.52,6.94,8.36,9.78,11.21,12.63
1986,12,6.82,7.82,8.82,9.82,10.82,11.82,12.83,13.83
1987,1,8.77,9.65,10.53,11.41,12.30,13.18,14.06,14.94
1987,2,10.44,11.10,11.75,12.41,13.06,13.72,14.37,15.03
1987,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
1987,4,5.09,5.94,6.78,7.63,8.47,9.31,10.16,11.00
1987,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
1987,6,-3.60,-2.52,-1.43,-0.34,0.75,1.84,2.92,4.01
1987,7,-5.51,-4.28,-3.04,-1.81,-0.57,0.66,1.90,3.13
1987,8,-3.71,-2.65,-1.59,-0.52,0.54,1.61,2.67,3.73
1987,9,-2.18,-1.15,-0.11,0.93,1.97,3.01,4.05,5.09
1987,10,0.90,2.10,3.30,4.51,5.71,6.91,8.12,9.32
1987,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
1987,12,6.93,7.95,8.96,9.98,11.00,12.02,13.03,14.05
1988,1,9.55,10.51,11.47,12.44,13.40,14.36,15.32,16.28
1988,2,10.44,11.10,11.75,12.41,13.06,13.72,14.37,15.03
1988,3,8.42,9.06,9.71,10.36,11.00,11.65,12.30,12.94
1988,4,4.67,5.45,6.22,7.00,7.77,8.54,9.32,10.09
1988,5,-0.34,0.65,1.64,2.63,3.61,4.60,5.59,6.58
1988,6,-3.44,-2.40,-1.36,-0.33,0.71,1.75,2.79,3.83
1988,7,-4.31,-3.35,-2.38,-1.41,-0.45,0.52,1.49,2.45
1988,8,-3.80,-2.71,-1.62,-0.53,0.55,1.64,2.73,3.82
1988,9,-2.78,-1.46,-0.13,1.19,2.51,3.83,5.15,6.47
1988,10,0.85,1.99,3.14,4.28,5.43,6.57,7.71,8.86
1988,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
1988,12,7.00,8.03,9.06,10.09,11.12,12.14,13.17,14.20
1989,1,8.95,9.85,10.75,11.65,12.55,13.45,14.35,15.25
1989,2,10.22,10.86,11.50,12.14,12.78,13.42,14.06,14.70
1989,3,8.26,8.90,9.53,10.17,10.80,11.44,12.07,12.71
1989,4,4.57,5.32,6.08,6.84,7.59,8.35,9.11,9.86
1989,5,-0.30,0.57,1.44,2.30,3.17,4.04,4.91,5.77
1989,6,-3.12,-2.18,-1.24,-0.29,0.65,1.59,2.53,3.48
1989,7,-2.22,-1.72,-1.22,-0.73,-0.23,0.27,0.76,1.26
1989,8,-3.84,-2.74,-1.64,-0.54,0.56,1.66,2.76,3.86
1989,9,-2.59,-1.36,-0.13,1.11,2.34,3.57,4.80,6.03
1989,10,0.82,1.92,3.02,4.12,5.22,6.32,7.43,8.53
1989,11,2.50,3.83,5.16,6.48,7.81,9.14,10.46,11.79
1989,12,6.60,7.57,8.54,9.50,10.47,11.44,12.41,13.38
1990,1,9.23,10.16,11.09,12.01,12.94,13.87,14.80,15.73
1990,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
1990,3,8.52,9.18,9.83,10.48,11.14,11.79,12.45,13.10
1990,4,4.01,4.67,5.33,6.00,6.66,7.32,7.99,8.65
1990,5,-0.36,0.68,1.73,2.77,3.82,4.86,5.91,6.95
1990,6,-3.92,-2.74,-1.55,-0.37,0.81,2.00,3.18,4.37
1990,7,-5.27,-4.09,-2.91,-1.73,-0.55,0.63,1.82,3.00
1990,8,-3.76,-2.68,-1.60,-0.53,0.55,1.62,2.70,3.78
1990,9,-2.37,-1.24,-0.12,1.01,2.14,3.27,4.40,5.53
1990,10,0.83,1.95,3.07,4.19,5.30,6.42,7.54,8.66
1990,11,2.25,3.44,4.64,5.83,7.02,8.22,9.41,10.60
1990,12,7.30,8.37,9.44,10.51,11.58,12.66,13.73,14.80
1991,1,9.78,10.77,11.75,12.74,13.72,14.70,15.69,16.67
1991,2,10.73,11.40,12.08,12.75,13.42,14.09,14.77,15.44
1991,3,7.64,8.23,8.82,9.40,9.99,10.58,11.17,11.75
1991,4,4.60,5.37,6.13,6.89,7.65,8.41,9.18,9.94
1991,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
1991,6,-4.12,-2.88,-1.63,-0.39,0.86,2.10,3.35,4.59
1991,7,-5.81,-4.51,-3.21,-1.90,-0.60,0.70,2.00,3.30
1991,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
1991,9,-2.35,-1.23,-0.11,1.00,2.12,3.24,4.36,5.48
1991,10,0.81,1.91,3.00,4.09,5.18,6.28,7.37,8.46
1991,11,2.29,3.51,4.73,5.95,7.16,8.38,9.60,10.81
1991,12,7.04,8.07,9.11,10.14,11.17,12.21,13.24,14.27
1992,1,8.95,9.85,10.75,11.65,12.55,13.45,14.35,15.25
1992,2,11.30,12.01,12.72,13.43,14.13,14.84,15.55,16.26
1992,3,9.50,10.23,10.96,11.69,12.42,13.15,13.88,14.61
1992,4,5.38,6.27,7.16,8.05,8.94,9.83,10.72,11.61
1992,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
1992,6,-3.60,-2.52,-1.43,-0.34,0.75,1.84,2.92,4.01
1992,7,-4.79,-3.72,-2.64,-1.57,-0.50,0.58,1.65,2.72
1992,8,-3.67,-2.62,-1.57,-0.52,0.54,1.59,2.64,3.69
1992,9,-2.66,-1.39,-0.13,1.14,2.40,3.67,4.93,6.20
1992,10,0.93,2.19,3.44,4.70,5.95,7.21,8.46,9.72
1992,11,2.49,3.81,5.12,6.44,7.76,9.08,10.40,11.72
1992,12,7.11,8.16,9.20,10.25,11.29,12.34,13.38,14.42
1993,1,9.51,10.46,11.42,12.38,13.33,14.29,15.24,16.20
1993,2,10.96,11.65,12.33,13.02,13.71,14.39,15.08,15.77
1993,3,9.45,10.18,10.90,11.63,12.35,13.08,13.81,14.53
1993,4,5.06,5.90,6.74,7.57,8.41,9.25,10.09,10.93
1993,5,-0.34,0.65,1.65,2.65,3.65,4.65,5.64,6.64
1993,6,-2.96,-2.07,-1.17,-0.28,0.61,1.51,2.40,3.30
1993,7,-5.21,-4.04,-2.88,-1.71,-0.54,0.63,1.79,2.96
1993,8,-3.59,-2.56,-1.53,-0.50,0.52,1.55,2.58,3.61
1993,9,-2.52,-1.32,-0.12,1.08,2.27,3.47,4.67,5.86
1993,10,0.88,2.05,3.23,4.41,5.59,6.77,7.94,9.12
1993,11,2.21,3.38,4.54,5.71,6.88,8.05,9.22,10.39
1993,12,7.26,8.33,9.39,10.46,11.53,12.59,13.66,14.72
1994,1,9.18,10.11,11.03,11.95,12.88,13.80,14.72,15.65
1994,2,11.59,12.31,13.04,13.77,14.49,15.22,15.94,16.67
1994,3,8.47,9.12,9.77,10.42,11.07,11.72,12.37,13.02
1994,4,4.67,5.45,6.22,7.00,7.77,8.54,9.32,10.09
1994,5,-0.35,0.66,1.67,2.68,3.68,4.69,5.70,6.71
1994,6,-3.28,-2.29,-1.30,-0.31,0.68,1.67,2.66,3.65
1994,7,-5.09,-3.95,-2.81,-1.67,-0.53,0.61,1.75,2.89
1994,8,-3.17,-2.26,-1.35,-0.44,0.46,1.37,2.28,3.18
1994,9,-2.47,-1.29,-0.12,1.06,2.23,3.40,4.58,5.75
1994,10,0.84,1.98,3.12,4.25,5.39,6.52,7.66,8.79
1994,11,2.19,3.35,4.51,5.68,6.84,8.00,9.16,10.33
1994,12,6.71,7.69,8.68,9.66,10.65,11.63,12.62,13.60
1995,1,8.86,9.75,10.64,11.53,12.42,13.32,14.21,15.10
1995,2,11.02,11.71,12.40,13.09,13.78,14.47,15.16,15.85
1995,3,8.73,9.40,10.07,10.74,11.41,12.08,12.75,13.42
1995,4,4.92,5.73,6.55,7.36,8.18,8.99,9.81,10.62
1995,5,-0.38,0.72,1.81,2.90,3.99,5.08,6.17,7.26
1995,6,-3.44,-2.40,-1.36,-0.33,0.71,1.75,2.79,3.83
1995,7,-3.83,-2.97,-2.12,-1.26,-0.40,0.46,1.32,2.18
1995,8,-3.33,-2.38,-1.42,-0.47,0.49,1.44,2.40,3.35
1995,9,-2.45,-1.28,-0.12,1.04,2.21,3.37,4.54,5.70
1995,10,0.82,1.92,3.02,4.12,5.22,6.32,7.43,8.53
1995,11,2.41,3.69,4.97,6.25,7.53,8.81,10.09,11.37
1995,12,7.08,8.12,9.16,10.19,11.23,12.27,13.31,14.35
1996,1,9.14,10.06,10.98,11.89,12.81,13.73,14.65,15.57
1996,2,10.67,11.34,12.01,12.68,13.35,14.02,14.69,15.36
1996,3,8.99,9.68,10.37,11.06,11.75,12.44,13.13,13.82
1996,4,4.36,5.08,5.80,6.52,7.24,7.96,8.69,9.41
1996,5,-0.34,0.65,1.64,2.63,3.61,4.60,5.59,6.58
1996,6,-3.28,-2.29,-1.30,-0.31,0.68,1.67,2.66,3.65
1996,7,-5.27,-4.09,-2.91,-1.73,-0.55,0.63,1.82,3.00
1996,8,-4.09,-2.92,-1.75,-0.58,0.60,1.77,2.94,4.12
1996,9,-2.42,-1.27,-0.12,1.03,2.19,3.34,4.49,5.64
1996,10,0.83,1.95,3.07,4.19,5.30,6.42,7.54,8.66
1996,11,2.26,3.47,4.67,5.87,7.07,8.27,9.47,10.67
1996,12,6.60,7.57,8.54,9.50,10.47,11.44,12.41,13.38
1997,1,8.72,9.60,10.48,11.35,12.23,13.11,13.98,14.86
1997,2,10.56,11.22,11.88,12.54,13.21,13.87,14.53,15.19
1997,3,8.00,8.62,9.23,9.85,10.46,11.08,11.69,12.31
1997,4,4.50,5.24,5.99,6.73,7.48,8.22,8.97,9.71
1997,5,-0.31,0.59,1.50,2.40,3.31,4.21,5.12,6.02
1997,6,-3.52,-2.46,-1.40,-0.33,0.73,1.79,2.86,3.92
1997,7,-4.49,-3.49,-2.48,-1.47,-0.47,0.54,1.55,2.55
1997,8,-4.43,-3.16,-1.89,-0.62,0.65,1.92,3.19,4.46
1997,9,-2.59,-1.36,-0.13,1.11,2.34,3.57,4.80,6.03
1997,10,0.88,2.05,3.23,4.41,5.59,6.77,7.94,9.12
1997,11,2.34,3.58,4.82,6.06,7.30,8.54,9.78,11.02
1997,12,7.04,8.07,9.11,10.14,11.17,12.21,13.24,14.27
1998,1,9.37,10.31,11.25,12.19,13.14,14.08,15.02,15.96
1998,2,10.84,11.52,12.20,12.88,13.56,14.24,14.92,15.60
1998,3,9.45,10.18,10.90,11.63,12.35,13.08,13.81,14.53
1998,4,5.09,5.94,6.78,7.63,8.47,9.31,10.16,11.00
1998,5,-0.29,0.56,1.41,2.25,3.10,3.95,4.80,5.65
1998,6,-3.72,-2.60,-1.48,-0.35,0.77,1.90,3.02,4.14
1998,7,-4.01,-3.11,-2.21,-1.32,-0.42,0.48,1.38,2.28
1998,8,-4.01,-2.86,-1.71,-0.56,0.59,1.73,2.88,4.03
1998,9,-2.71,-1.42,-0.13,1.16,2.44,3.73,5.02,6.31
1998,10,0.76,1.79,2.81,3.83,4.86,5.88,6.91,7.93
1998,11,2.38,3.65,4.91,6.18,7.44,8.70,9.97,11.23
1998,12,5.71,6.55,7.39,8.23,9.07,9.91,10.75,11.58
1999,1,7.85,8.63,9.42,10.21,11.00,11.79,12.58,13.37
1999,2,11.13,11.83,12.53,13.22,13.92,14.62,15.32,16.01
1999,3,8.06,8.68,9.29,9.91,10.53,11.15,11.77,12.39
1999,4,4.81,5.61,6.41,7.21,8.00,8.80,9.60,10.39
1999,5,-0.43,0.81,2.05,3.29,4.54,5.78,7.02,8.26
1999,6,-2.88,-2.01,-1.14,-0.27,0.60,1.47,2.34,3.21
1999,7,-3.65,-2.84,-2.02,-1.20,-0.38,0.44,1.26,2.08
1999,8,-3.97,-2.83,-1.69,-0.56,0.58,1.72,2.85,3.99
1999,9,-2.26,-1.18,-0.11,0.96,2.04,3.11,4.18,5.26
1999,10,0.89,2.08,3.28,4.47,5.67,6.86,8.06,9.25
