Year,Month,Armerillo,Rio_Cipreses_En_Dasague_Laguna_La_Invernada,Rio_Melado_En_La_Lancha_Dga
2009,10,173.5,102.6414401,128.3663846
2009,11,91.3,46.98033305,113.3651715
2009,12,0.1,0.3736,0.349255718
2010,1,0.0,23.089979999999997,0.0
2010,2,0.0,8.776555147,0.0
2010,3,0.0,0.20958694600000002,0.0
2010,4,0.0,9.625123194,0.0
2010,5,103.5,98.54427681,114.34907450000001
2010,6,490.0,319.2487039,419.54413650000004
2010,7,335.0,209.66263669999998,243.22370930000002
2010,8,263.5,136.15330469999998,170.024899
2010,9,11.0,7.46979,14.91304616
2010,10,65.5,67.26007506,56.52375801
2010,11,31.0,23.59287773,27.24656483
2010,12,33.0,27.870559999999998,20.59542741
2011,1,32.5,23.81608,12.65519184
2011,2,6.5,6.681951004,12.44481902
2011,3,40.0,20.95579163,0.0
2011,4,264.0,173.542168,198.7987097
2011,5,67.0,63.04087107,93.20713256
2011,6,358.0,233.0817746,346.2385975
2011,7,362.2,226.01244350000002,256.2785176
2011,8,584.7,309.1353707,506.305336
2011,9,67.0,47.612320000000004,69.77258032
2011,10,8.0,25.83798915,14.8086845
2011,11,61.0,41.339137799999996,50.11421745
2011,12,0.0,0.0,0.349255718
2012,1,0.0,0.21783000000000002,37.36294732
2012,2,11.0,10.73151901,13.36665746
2012,3,0.0,0.20958694600000002,37.49341233
2012,4,20.8,24.75592733,31.00372439
2012,5,365.0,219.36738540000002,287.2557898
2012,6,561.0,163.00905269999998,468.02361629999996
2012,7,54.2,95.26540378,65.24315641
2012,8,278.0,140.221192,211.74950269999997
2012,9,3.0,2.9150400000000003,10.45214979
2012,10,178.0,107.72331640000002,129.138886
2012,11,23.0,24.06297733,30.16583963
2012,12,332.5,266.67568,248.01172799999998
2013,1,0.0,0.0,0.0
2013,2,47.5,28.69856788,51.62295296
2013,3,0.0,0.85993819,0.0
2013,4,0.0,9.965907071,8.571239728
2013,5,387.5,264.0409553,380.1977486
2013,6,239.0,155.6573778,228.6043162
2013,7,383.0,239.79152599999998,323.29320010000004
2013,8,172.5,109.16319509999998,172.5085064
2013,9,151.5,92.55252,136.2114625
2013,10,63.0,55.99365123,88.27356397
2013,11,1.5,8.549690383,4.378912205
2013,12,0.0,0.0,0.349255718
2014,1,0.0,0.36305,0.0
2014,2,0.0,5.145907966,27.65515337
2014,3,49.1,35.52365949,0.0
2014,4,49.0,37.77387143,48.50106243
2014,5,292.0,201.77058390000002,240.30106899999998
2014,6,499.5,288.9147657,361.9743414
2014,7,384.0,227.7605361,365.50374689999995
2014,8,297.5,65.83696657,209.2658953
2014,9,261.0,144.41593999999998,202.6503447
2014,10,23.0,33.79639918,19.05744198
2014,11,26.0,16.65890856,30.16583963
2014,12,19.0,17.63392,22.94963342
2015,1,0.0,0.0,16.87358911
2015,2,8.4,7.93871349,0.0
2015,3,34.0,15.68794655,42.2460984
2015,4,31.0,31.70791842,32.34967347
2015,5,71.5,62.04950197,80.16210455
2015,6,156.5,119.29639070000002,159.0408139
2015,7,559.0,277.5,423.8152239
2015,8,685.1,339.4,536.6053459
2015,9,204.0,125.28598999999998,158.9905079
2015,10,225.5,102.1,154.63143090000003
2015,11,15.5,12.7,16.05601142
2015,12,0.0,0.0,0.349255718
2016,1,17.0,6.4,0.0
2016,2,0.0,0.0,1.8436768909999999
2016,3,0.0,0.0,11.61767706
2016,4,367.0,250.2,267.1729229
2016,5,103.0,66.8,94.55661821
2016,6,37.0,29.2,48.69870672
2016,7,343.0,208.5,304.146148
2016,8,63.0,45.4,72.17076888
2016,9,7.68530201,6.9,43.23970264
2016,10,43.87560027,124.0,137.9889926
2016,11,5.523125885,30.5,25.54684921
2016,12,7.466667289,3.5,14.98512262
2017,1,4.0,2.1,10.84730729
2017,2,0.0,5.7,0.0
2017,3,0.5225,4.5,0.0
2017,4,116.0,72.9,83.4957385
2017,5,178.0,95.2,158.4322726
2017,6,586.5,341.1,567.3066104
2017,7,156.0,44.1,147.9236089
2017,8,275.0,137.0,288.2446095
2017,9,112.0,75.2,116.75436129999999
2017,10,93.08843839,76.3,119.482619
2017,11,65.0,36.2,23.35419842
2017,12,0.0,0.0,0.349255718
2018,1,0.5424,0.5808800000000001,8.436794557
2018,2,7.2957,9.00928894,0.0
2018,3,91.751,51.2,7.396734359
2018,4,123.24685339999999,89.2,90.82657788
2018,5,177.37707690000002,113.2,174.17627190000002
2018,6,357.3958719,117.6,289.46598969999997
2018,7,229.1675126,129.1,223.8939066
2018,8,160.9340033,46.4,130.25112439999998
2018,9,321.89288339999996,252.6,292.0429143
2018,10,83.62776933,62.7,86.26353466
2018,11,22.68539494,11.3,30.93154875
2018,12,1.306666776,1.04608,0.349255718
2019,1,32.5,23.81608,12.65519184
2019,2,6.5,6.681951004,12.44481902
2019,3,40.0,20.95579163,0.0
2019,4,264.0,173.542168,198.7987097
2019,5,67.0,63.04087107,93.20713256
2019,6,358.0,233.0817746,346.2385975
2019,7,362.2,226.01244350000002,256.2785176
2019,8,584.7,309.1353707,506.305336
2019,9,67.0,47.612320000000004,69.77258032
2019,10,8.0,25.83798915,14.8086845
2019,11,61.0,41.339137799999996,50.11421745
2019,12,0.0,0.0,0.349255718
2020,1,0.0,0.21783000000000002,37.36294732
2020,2,11.0,10.73151901,13.36665746
2020,3,0.0,0.20958694600000002,37.49341233
2020,4,20.8,24.75592733,31.00372439
2020,5,365.0,219.36738540000002,287.2557898
2020,6,561.0,163.00905269999998,468.02361629999996
2020,7,54.2,95.26540378,65.24315641
2020,8,278.0,140.221192,211.74950269999997
2020,9,3.0,2.9150400000000003,10.45214979
2020,10,178.0,107.72331640000002,129.138886
2020,11,23.0,24.06297733,30.16583963
2020,12,332.5,266.67568,248.01172799999998
2021,1,0.0,0.0,0.0
2021,2,47.5,28.69856788,51.62295296
2021,3,0.0,0.85993819,0.0
2021,4,0.0,9.965907071,8.571239728
2021,5,387.5,264.0409553,380.1977486
2021,6,239.0,155.6573778,228.6043162
2021,7,383.0,239.79152599999998,323.29320010000004
2021,8,172.5,109.16319509999998,172.5085064
2021,9,151.5,92.55252,136.2114625
2021,10,63.0,55.99365123,88.27356397
2021,11,1.5,8.549690383,4.378912205
2021,12,0.0,0.0,0.349255718
2022,1,0.0,0.36305,0.0
2022,2,0.0,5.145907966,27.65515337
2022,3,49.1,35.52365949,0.0
2022,4,49.0,37.77387143,48.50106243
2022,5,292.0,201.77058390000002,240.30106899999998
2022,6,499.5,288.9147657,361.9743414
2022,7,384.0,227.7605361,365.50374689999995
2022,8,297.5,65.83696657,209.2658953
2022,9,261.0,144.41593999999998,202.6503447
2022,10,23.0,33.79639918,19.05744198
2022,11,26.0,16.65890856,30.16583963
2022,12,19.0,17.63392,22.94963342
2023,1,0.0,0.0,16.87358911
2023,2,8.4,7.93871349,0.0
2023,3,34.0,15.68794655,42.2460984
2023,4,31.0,31.70791842,32.34967347
2023,5,71.5,62.04950197,80.16210455
2023,6,156.5,119.29639070000002,159.0408139
2023,7,559.0,277.5,423.8152239
2023,8,685.1,339.4,536.6053459
2023,9,204.0,125.28598999999998,158.9905079
2023,10,225.5,102.1,154.63143090000003
2023,11,15.5,12.7,16.05601142
2023,12,0.0,0.0,0.349255718
2024,1,17.0,6.4,0.0
2024,2,0.0,0.0,1.8436768909999999
2024,3,0.0,0.0,11.61767706
2024,4,367.0,250.2,267.1729229
2024,5,103.0,66.8,94.55661821
2024,6,37.0,29.2,48.69870672
2024,7,343.0,208.5,304.146148
2024,8,63.0,45.4,72.17076888
2024,9,7.68530201,6.9,43.23970264
2024,10,43.87560027,124.0,137.9889926
2024,11,5.523125885,30.5,25.54684921
2024,12,7.466667289,3.5,14.98512262
2025,1,4.0,2.1,10.84730729
2025,2,0.0,5.7,0.0
2025,3,0.5225,4.5,0.0
2025,4,116.0,72.9,83.4957385
2025,5,178.0,95.2,158.4322726
2025,6,586.5,341.1,567.3066104
2025,7,156.0,44.1,147.9236089
2025,8,275.0,137.0,288.2446095
2025,9,112.0,75.2,116.75436129999999
2025,10,93.08843839,76.3,119.482619
2025,11,65.0,36.2,23.35419842
2025,12,0.0,0.0,0.349255718
2026,1,0.5424,0.5808800000000001,8.436794557
2026,2,7.2957,9.00928894,0.0
2026,3,91.751,51.2,7.396734359
2026,4,123.24685339999999,89.2,90.82657788
2026,5,177.37707690000002,113.2,174.17627190000002
2026,6,357.3958719,117.6,289.46598969999997
2026,7,229.1675126,129.1,223.8939066
2026,8,160.9340033,46.4,130.25112439999998
2026,9,321.89288339999996,252.6,292.0429143
2026,10,83.62776933,62.7,86.26353466
2026,11,22.68539494,11.3,30.93154875
2026,12,1.306666776,1.04608,0.349255718
2027,1,32.5,23.81608,12.65519184
2027,2,6.5,6.681951004,12.44481902
2027,3,40.0,20.95579163,0.0
2027,4,264.0,173.542168,198.7987097
2027,5,67.0,63.04087107,93.20713256
2027,6,358.0,233.0817746,346.2385975
2027,7,362.2,226.01244350000002,256.2785176
2027,8,584.7,309.1353707,506.305336
2027,9,67.0,47.612320000000004,69.77258032
2027,10,8.0,25.83798915,14.8086845
2027,11,61.0,41.339137799999996,50.11421745
2027,12,0.0,0.0,0.349255718
2028,1,0.0,0.21783000000000002,37.36294732
2028,2,11.0,10.73151901,13.36665746
2028,3,0.0,0.20958694600000002,37.49341233
2028,4,20.8,24.75592733,31.00372439
2028,5,365.0,219.36738540000002,287.2557898
2028,6,561.0,163.00905269999998,468.02361629999996
2028,7,54.2,95.26540378,65.24315641
2028,8,278.0,140.221192,211.74950269999997
2028,9,3.0,2.9150400000000003,10.45214979
2028,10,178.0,107.72331640000002,129.138886
2028,11,23.0,24.06297733,30.16583963
2028,12,332.5,266.67568,248.01172799999998
2029,1,0.0,0.0,0.0
2029,2,47.5,28.69856788,51.62295296
2029,3,0.0,0.85993819,0.0
2029,4,0.0,9.965907071,8.571239728
2029,5,387.5,264.0409553,380.1977486
2029,6,239.0,155.6573778,228.6043162
2029,7,383.0,239.79152599999998,323.29320010000004
2029,8,172.5,109.16319509999998,172.5085064
2029,9,151.5,92.55252,136.2114625
2029,10,63.0,55.99365123,88.27356397
2029,11,1.5,8.549690383,4.378912205
2029,12,0.0,0.0,0.349255718
2030,1,0.0,0.36305,0.0
2030,2,0.0,5.145907966,27.65515337
2030,3,49.1,35.52365949,0.0
2030,4,49.0,37.77387143,48.50106243
2030,5,292.0,201.77058390000002,240.30106899999998
2030,6,499.5,288.9147657,361.9743414
2030,7,384.0,227.7605361,365.50374689999995
2030,8,297.5,65.83696657,209.2658953
2030,9,261.0,144.41593999999998,202.6503447
2030,10,23.0,33.79639918,19.05744198
2030,11,26.0,16.65890856,30.16583963
2030,12,19.0,17.63392,22.94963342
2031,1,0.0,0.0,16.87358911
2031,2,8.4,7.93871349,0.0
2031,3,34.0,15.68794655,42.2460984
2031,4,31.0,31.70791842,32.34967347
2031,5,71.5,62.04950197,80.16210455
2031,6,156.5,119.29639070000002,159.0408139
2031,7,559.0,277.5,423.8152239
2031,8,685.1,339.4,536.6053459
2031,9,204.0,125.28598999999998,158.9905079
2031,10,225.5,102.1,154.63143090000003
2031,11,15.5,12.7,16.05601142
2031,12,0.0,0.0,0.349255718
2032,1,17.0,6.4,0.0
2032,2,0.0,0.0,1.8436768909999999
2032,3,0.0,0.0,11.61767706
2032,4,367.0,250.2,267.1729229
2032,5,103.0,66.8,94.55661821
2032,6,37.0,29.2,48.69870672
2032,7,343.0,208.5,304.146148
2032,8,63.0,45.4,72.17076888
2032,9,7.68530201,6.9,43.23970264
2032,10,43.87560027,124.0,137.9889926
2032,11,5.523125885,30.5,25.54684921
2032,12,7.466667289,3.5,14.98512262
2033,1,4.0,2.1,10.84730729
2033,2,0.0,5.7,0.0
2033,3,0.5225,4.5,0.0
2033,4,116.0,72.9,83.4957385
2033,5,178.0,95.2,158.4322726
2033,6,586.5,341.1,567.3066104
2033,7,156.0,44.1,147.9236089
2033,8,275.0,137.0,288.2446095
2033,9,112.0,75.2,116.75436129999999
2033,10,93.08843839,76.3,119.482619
2033,11,65.0,36.2,23.35419842
2033,12,0.0,0.0,0.349255718
2034,1,0.5424,0.5808800000000001,8.436794557
2034,2,7.2957,9.00928894,0.0
2034,3,91.751,51.2,7.396734359
2034,4,123.24685339999999,89.2,90.82657788
2034,5,177.37707690000002,113.2,174.17627190000002
2034,6,357.3958719,117.6,289.46598969999997
2034,7,229.1675126,129.1,223.8939066
2034,8,160.9340033,46.4,130.25112439999998
2034,9,321.89288339999996,252.6,292.0429143
2034,10,83.62776933,62.7,86.26353466
2034,11,22.68539494,11.3,30.93154875
2034,12,1.306666776,1.04608,0.349255718
2035,1,,,
2035,2,,,
2035,3,,,
2035,4,,,
2035,5,,,
2035,6,,,
2035,7,,,
2035,8,,,
2035,9,,,
2035,10,,,
2035,11,,,
2035,12,,,
2036,1,,,
2036,2,,,
2036,3,,,
2036,4,,,
2036,5,,,
2036,6,,,
2036,7,,,
2036,8,,,
2036,9,,,
2036,10,,,
2036,11,,,
2036,12,,,
2037,1,,,
2037,2,,,
2037,3,,,
2037,4,,,
2037,5,,,
2037,6,,,
2037,7,,,
2037,8,,,
2037,9,,,
2037,10,,,
2037,11,,,
2037,12,,,
2038,1,,,
2038,2,,,
2038,3,,,
2038,4,,,
2038,5,,,
2038,6,,,
2038,7,,,
2038,8,,,
2038,9,,,
2038,10,,,
2038,11,,,
2038,12,,,
2039,1,,,
2039,2,,,
2039,3,,,
2039,4,,,
2039,5,,,
2039,6,,,
2039,7,,,
2039,8,,,
2039,9,,,
2039,10,,,
2039,11,,,
2039,12,,,
2040,1,,,
2040,2,,,
2040,3,,,
2040,4,,,
2040,5,,,
2040,6,,,
2040,7,,,
2040,8,,,
2040,9,,,
2040,10,,,
2040,11,,,
2040,12,,,
2041,1,,,
2041,2,,,
2041,3,,,
2041,4,,,
2041,5,,,
2041,6,,,
2041,7,,,
2041,8,,,
2041,9,,,
2041,10,,,
2041,11,,,
2041,12,,,
2042,1,,,
2042,2,,,
2042,3,,,
2042,4,,,
2042,5,,,
2042,6,,,
2042,7,,,
2042,8,,,
2042,9,,,
2042,10,,,
2042,11,,,
2042,12,,,
2043,1,,,
2043,2,,,
2043,3,,,
2043,4,,,
2043,5,,,
2043,6,,,
2043,7,,,
2043,8,,,
2043,9,,,
2043,10,,,
2043,11,,,
2043,12,,,
2044,1,,,
2044,2,,,
2044,3,,,
2044,4,,,
2044,5,,,
2044,6,,,
2044,7,,,
2044,8,,,
2044,9,,,
2044,10,,,
2044,11,,,
2044,12,,,
2045,1,,,
2045,2,,,
2045,3,,,
2045,4,,,
2045,5,,,
2045,6,,,
2045,7,,,
2045,8,,,
2045,9,,,
2045,10,,,
2045,11,,,
2045,12,,,
2046,1,,,
2046,2,,,
2046,3,,,
2046,4,,,
2046,5,,,
2046,6,,,
2046,7,,,
2046,8,,,
2046,9,,,
2046,10,,,
2046,11,,,
2046,12,,,
2047,1,,,
2047,2,,,
2047,3,,,
2047,4,,,
2047,5,,,
2047,6,,,
2047,7,,,
2047,8,,,
2047,9,,,
2047,10,,,
2047,11,,,
2047,12,,,
2048,1,,,
2048,2,,,
2048,3,,,
2048,4,,,
2048,5,,,
2048,6,,,
2048,7,,,
2048,8,,,
2048,9,,,
2048,10,,,
2048,11,,,
2048,12,,,
2049,1,,,
2049,2,,,
2049,3,,,
2049,4,,,
2049,5,,,
2049,6,,,
2049,7,,,
2049,8,,,
2049,9,,,
2049,10,,,
2049,11,,,
2049,12,,,
2050,1,,,
2050,2,,,
2050,3,,,
