;Año	Mes	Abanico
1993	9	97.4
1993	10	182.1
1993	11	27.9
1993	12	89
1994	1	14.9
1994	2	4
1994	3	41.1
1994	4	261.2
1994	5	153.4
1994	6	543.4
1994	7	438.7
1994	8	69.7
1994	9	328.9
1994	10	221.2
1994	11	92
1994	12	93.4
1995	1	16.1
1995	2	17.5
1995	3	42.1
1995	4	197.1
1995	5	106.5
1995	6	593
1995	7	513.3
1995	8	304.3
1995	9	67
1995	10	105.7
1995	11	26.7
1995	12	0
1996	1	5
1996	2	35
1996	3	156.1
1996	4	186
1996	5	192.4
1996	6	236
1996	7	77.8
1996	8	253.7
1996	9	56.3
1996	10	96.5
1996	11	86.5
1996	12	24.8
1997	1	35.9
1997	2	56.9
1997	3	11.6
1997	4	336
1997	5	266.6
1997	6	562.2
1997	7	296.5
1997	8	200.1
1997	9	267.2
1997	10	239
1997	11	153.3
1997	12	47.5
1998	1	8.9
1998	2	18
1998	3	26.9
1998	4	130.4
1998	5	159.2
1998	6	138.9
1998	7	130.2
1998	8	161.6
1998	9	106.2
1998	10	2.9
1998	11	50.4
1998	12	38.8
1999	1	15.5
1999	2	42.7
1999	3	5.8
1999	4	63.8
1999	5	358.7
1999	6	535.6
1999	7	90.8
1999	8	338.3
1999	9	292.7
1999	10	40.6
1999	11	14.6
1999	12	9.2
2000	1	3
2000	2	359.7
2000	3	16.2
2000	4	90.5
2000	5	110.3
2000	6	780.6
2000	7	172.1
2000	8	355.8
2000	9	373.1
2000	10	77.6
2000	11	42.4
2000	12	83.6
2001	1	101.7
2001	2	10.5
2001	3	78.3
2001	4	114.4
2001	5	537.2
2001	6	438.3
2001	7	559
2001	8	212.1
2001	9	72.7
2001	10	84.9
2001	11	126.2
2001	12	13.1
2002	1	13.7
2002	2	201.2
2002	3	132.9
2002	4	149.5
2002	5	364.1
2002	6	356.2
2002	7	286.7
2002	8	393.6
2002	9	297.6
2002	10	472.6
2002	11	202.9
2002	12	45.5
2003	1	56
2003	2	0
2003	3	24.6
2003	4	77.2
2003	5	156.2
2003	6	569.8
2003	7	173.5
2003	8	131.2
2003	9	263.1
2003	10	161
2003	11	130
2003	12	40.8
2004	1	6.3
2004	2	20.1
2004	3	66.7
2004	4	273.2
2004	5	79.4
2004	6	410.1
2004	7	355.6
2004	8	181.8
2004	9	174.2
2004	10	223.7
2004	11	96.4
2004	12	67.8
2005	1	10.2
2005	2	0
2005	3	52.3
2005	4	64.5
2005	5	483.1
2005	6	603.5
2005	7	291.8
2005	8	419
2005	9	65.8
2005	10	64.6
2005	11	96
2005	12	92.4
2006	1	53.5
2006	2	11.3
2006	3	53.3
2006	4	137
2006	5	134.7
2006	6	477.5
2006	7	477.2
2006	8	274.1
2006	9	202.7
2006	10	253.3
2006	11	13.2
2006	12	171.6
2007	1	38.6
2007	2	95.1
2007	3	21.2
2007	4	176.6
2007	5	100.5
2007	6	309.3
2007	7	272
2007	8	158.3
2007	9	87.8
2007	10	101.1
2007	11	13.9
2007	12	82.3
2008	1	15.2
2008	2	11.3
2008	3	17.8
